data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2021,143995731,25,25,,
2021,143995715,9,0,,
2021,143995715,20,80,,
2021,143995715,22,0,,
2021,143995717,9,0,,
2021,143995717,20,7900,,
2021,143995718,25,49,2021-01-05,
2021,143995719,25,49,,
2021,143995720,19,1900,,
2021,147587238,19,513,,
2021,144009364,20,250,,
2021,147713551,63,2,,
2021,149526786,63,100,,
2021,147713554,63,100,,
2021,147597964,19,999999998,,
2021,147597965,19,999999998,,
2021,143995742,10,1,,
2021,143995742,17,400,,
2021,143995742,20,455,,
2021,143995742,63,1,,
2021,143995743,19,530,2021-01-06,
2021,143995744,19,530,,
2021,143995745,20,160,,
2021,143995747,19,345,2021-01-06,
2021,143995748,19,345,,
2021,143995749,6,397,,
2021,143995750,35,999999998,,
2021,143995751,16,1,,
2021,143995753,9,0,,
2021,143995755,61,999999998,,
2021,147591300,19,113,,
2021,147594752,19,350,,
2021,147711713,19,40,,
2021,147645033,19,1073,2021-01-07,
2021,147655603,63,100,,
2021,147645034,19,1073,,
2021,143995767,36,1,2021-01-07,
2021,143995768,36,1,,
2021,143995769,63,999999998,,
2021,143995770,20,497,,
2021,143995771,61,240,,
2021,143995772,25,60,2021-01-07,
2021,143995773,25,60,,
2021,143995774,16,1,,
2021,143995775,6,1,,
2021,143994979,19,225,,
2021,147591301,20,70000,,
2021,147591301,51,0,,
2021,147591301,63,159,,
2021,143994991,63,400,,
2021,147606152,16,100,,
2021,147587770,63,2,,
2021,147587771,20,227,,
2021,143994994,38,200,,
2021,149526787,63,100,,
2021,143994997,30,1,,
