data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2022,178073758,182780858,18,
2022,178073759,182780858,18,
2022,178073773,182780870,18,
2022,178077952,182784857,18,
2022,178077957,182784862,3,
2022,178077958,182784863,18,
2022,178077959,182784864,26,
2022,178078894,182785812,18,
2022,178078899,182785817,3,
2022,182948230,187598162,18,
2022,178073788,182780884,18,
2022,178078904,182785822,26,
2022,178078909,182785827,3,
2022,178074430,182781510,18,
2022,178078911,182785829,18,
2022,178078911,182785830,18,
2022,178078915,182785833,18,
2022,178078917,182785835,18,
2022,178080421,182787410,18,
2022,178080422,182787410,18,
2022,178080424,182787412,26,
2022,178074696,182781762,18,
2022,178074697,182781763,18,
2022,178074703,182781769,18,
2022,178074703,182781770,18,
2022,178078928,182785843,3,
2022,178078929,182785844,3,
2022,178074708,182781775,18,
2022,178078930,182785845,18,
2022,178074714,182781780,18,
2022,178074719,182781786,18,
2022,178074729,182781796,18,
2022,178074735,182781801,18,
2022,165929829,170770069,18,
2022,165929830,170770069,18,
2022,178080426,182787414,26,
2022,165929831,170770069,18,
2022,178080682,182787644,3,
2022,178074741,182781809,18,
2022,178078939,182785854,18,
2022,178079341,182786286,18,
2022,182872077,187521105,26,
2022,182891399,187540269,24,
2022,182891400,187540269,24,
2022,182891401,187540269,24,
2022,182891402,187540269,24,
2022,182891403,187540269,24,
2022,182872080,187521108,23,
2022,182872083,187521111,3,
2022,182872165,187521195,21,
2022,182872168,187521197,24,
2022,182872171,187521199,18,
2022,187218330,191806986,24,
2022,178079345,182786291,26,
2022,178079346,182786292,18,
2022,178079348,182786293,3,
2022,178079353,182786299,26,
2022,178079383,182786337,26,
2022,178079817,182786767,18,
2022,178079846,182786802,18,
2022,178084274,182791308,18,
2022,178079847,182786803,3,
2022,182948231,187598163,24,
2022,182948231,187598164,24,
2022,182948231,187598165,24,
2022,178079848,182786804,3,
2022,178075050,182782091,18,
2022,178075008,182782039,18,
2022,178075008,182782040,18,
2022,178079857,182786814,18,
2022,178080107,182787074,26,
2022,178080109,182787076,18,
2022,178075025,182782063,18,
2022,178075030,182782067,18,
2022,178075041,182782078,18,
2022,178080112,182787078,18,
2022,178080114,182787080,26,
2022,178089094,182796264,18,
2022,178080117,182787084,18,
2022,178080117,182787085,18,
2022,178080142,182787108,3,
2022,178075073,182782111,18,
2022,178075074,182782111,18,
2022,178075079,182782116,18,
2022,178080150,182787116,18,
2022,178075095,182782129,18,
2022,178075100,182782135,18,
2022,178080163,182787126,3,
2022,178080183,182787149,18,
2022,178080194,182787159,26,
2022,178080196,182787163,3,
2022,178080199,182787166,26,
2022,178080518,182787487,18,
2022,178080520,182787489,26,
2022,178080521,182787490,18,
2022,178080901,182787885,18,
2022,178075309,182782340,18,
2022,178080849,182787835,18,
2022,178081301,182788280,26,
2022,178081303,182788282,26,
2022,178081305,182788284,3,
2022,178084626,182791657,18,
2022,178089100,182796270,18,
2022,178075316,182782346,18,
2022,178075316,182782347,18,
2022,178075316,182782348,18,
2022,178081260,182788233,18,
2022,178080686,182787648,26,
2022,178084630,182791660,18,
